Date; Open; High; Low; Close; Volume
01/11/2019;6300;6325;6275;6325;4.20805E+14
04/11/2019;6350;6380;6260;6275;4.37945E+14
05/11/2019;6350;6360;6270;6360;6.61615E+14
06/11/2019;6380;6380;6295;6295;6.3393E+13
07/11/2019;6335;6335;6250;6285;6.1972E+12
08/11/2019;6315;6315;6250;6280;9.00405E+14
11/11/2019;6335;6340;6265;6295;7.0207E+13
12/11/2019;6220;6280;6220;6265;4.76355E+14
13/11/2019;6265;6285;6265;6280;4.00835E+14
14/11/2019;6265;6280;6210;6270;3.7862E+12
15/11/2019;6280;6290;6255;6275;4.7138E+12
18/11/2019;6245;6285;6210;6280;6.5599E+13
19/11/2019;6330;6350;6300;6315;6.0115E+13
20/11/2019;6255;6350;6255;6350;4.32295E+14
21/11/2019;6350;6350;6300;6300;5.75235E+14
22/11/2019;6280;6310;6270;6305;5.6035E+13
25/11/2019;6330;6335;6275;6275;5.51335E+14
26/11/2019;6330;6330;6270;6285;1.92783E+14
27/11/2019;6270;6300;6240;6300;5.88335E+14
28/11/2019;6295;6295;6245;6250;4.4248E+12
29/11/2019;6230;6295;6225;6280;5.29545E+14
02/12/2019;6280;6425;6270;6425;4.9909E+13
03/12/2019;6420;6420;6345;6375;4.2823E+13
04/12/2019;6360;6400;6355;6365;3.7552E+12
05/12/2019;6360;6385;6330;6340;5.4168E+12
06/12/2019;6340;6395;6320;6395;6.99205E+14
09/12/2019;6370;6395;6360;6395;5.16675E+14
10/12/2019;6395;6400;6360;6365;5.7654E+12
11/12/2019;6365;6385;6350;6380;4.8469E+13
12/12/2019;6400;6405;6340;6340;7.91985E+14
13/12/2019;6395;6420;6350;6360;7.08225E+14
16/12/2019;6340;6395;6340;6360;7.8684E+12
17/12/2019;6395;6500;6365;6500;1.02914E+14
18/12/2019;6500;6800;6440;6755;1.81804E+13
19/12/2019;6700;6720;6590;6600;7.4171E+13
20/12/2019;6680;6740;6610;6660;9.9453E+13
23/12/2019;6680;6730;6650;6660;4.65585E+14
26/12/2019;6660;6725;6660;6680;3.81885E+14
